Name,Address
"Parkview Hotel, Doctor B R Ambedkar Veedhi, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",
"Rao's Biryani Center, 1043, Ramanjaneya Road, Srinagar, Srinagar Ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560050, India",
"Annapurneshwari Canteen, Cubbon Park Nature Trail, Cubbonpet, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",
"Dragons, 22nd Main Road, Banashankari 1st Stage, Srinagar Ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560050, India",
"High Court Canteen, Doctor B R Ambedkar Veedhi, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560051, India",
"Hotel New Karavali, 89, 22nd Main Road, Banashankari 1st Stage, Srinagar Ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560070, India",
"Tijuori, Palace Road, Fair Field Layout, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",
"LORE, Palace Road, Fair Field Layout, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",
"Matru Sagar, Subhashree Complex, Hanumantha Nagar Main Road / 50 Feet Road, Hanumantha Nagar, Vidyapeeta ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560050, India",
"Bunt's Biriyani Palace, 80 Feet Road, Banashankari 3rd Stage, Girinagara, South Zone, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560039, India",
